year,variable,value,label
2023,q20_7,4.0,  4) 관리를 잘하는 편이다
2023,q20_7,5.0,  5) 매우 관리를 잘한다
2023,q21,1.0,  1) 당연한 것처럼 전체 동의 버튼을 누른다
2023,q21,2.0,  2) 필수 동의 버튼만 체크한다(선택 동의 버튼은 체크하지 않는다)
2023,q21,3.0,  3) 개인정보수집절차가 필수이면 가입을 포기한다
2023,q21,4.0,  4) 개인정보수집절차가 무엇인지 잘 모른다
2023,q23,1.0,  1) 이용한 경험이 있다.
2023,q23,2.0,  2) 이용한 경험이 없다.
2023,q33_1,1.0,  1) 전혀 그렇지 않다
2023,q33_1,2.0,  2) 그렇지 않다
2023,q33_1,3.0,  3) 보통이다
2023,q33_1,4.0,  4) 그렇다
2023,q33_1,5.0,  5) 매우 그렇다
2023,q33_3,1.0,  1) 전혀 그렇지 않다
2023,q33_3,2.0,  2) 그렇지 않다
2023,q33_3,3.0,  3) 보통이다
2023,q33_3,4.0,  4) 그렇다
2023,q33_3,5.0,  5) 매우 그렇다
2023,q33_4,1.0,  1) 전혀 그렇지 않다
2023,q33_4,2.0,  2) 그렇지 않다
2023,q33_4,3.0,  3) 보통이다
2023,q33_4,4.0,  4) 그렇다
2023,q33_4,5.0,  5) 매우 그렇다
2023,q33_6,1.0,  1) 전혀 그렇지 않다
2023,q33_6,2.0,  2) 그렇지 않다
2023,q33_6,3.0,  3) 보통이다
2023,q33_6,4.0,  4) 그렇다
2023,q33_6,5.0,  5) 매우 그렇다
2023,q33_7,1.0,  1) 전혀 그렇지 않다
2023,q33_7,2.0,  2) 그렇지 않다
2023,q33_7,3.0,  3) 보통이다
2023,q33_7,4.0,  4) 그렇다
2023,q33_7,5.0,  5) 매우 그렇다
2023,q33_8,1.0,  1) 전혀 그렇지 않다
2023,q33_8,2.0,  2) 그렇지 않다
2023,q33_8,3.0,  3) 보통이다
2023,q33_8,4.0,  4) 그렇다
2023,q33_8,5.0,  5) 매우 그렇다
2023,q33_9,1.0,  1) 전혀 그렇지 않다
2023,q33_9,2.0,  2) 그렇지 않다
2023,q33_9,3.0,  3) 보통이다
2023,q33_9,4.0,  4) 그렇다
2023,q33_9,5.0,  5) 매우 그렇다
2023,q33_10,1.0,  1) 전혀 그렇지 않다
2023,q33_10,2.0,  2) 그렇지 않다
2023,q33_10,3.0,  3) 보통이다
2023,q33_10,4.0,  4) 그렇다
2023,q33_10,5.0,  5) 매우 그렇다
2023,q33_13,1.0,  1) 전혀 그렇지 않다
2023,q33_13,2.0,  2) 그렇지 않다
2023,q33_13,3.0,  3) 보통이다
2023,q33_13,4.0,  4) 그렇다
2023,q33_13,5.0,  5) 매우 그렇다
2023,q33_14,1.0,  1) 전혀 그렇지 않다
2023,q33_14,2.0,  2) 그렇지 않다
2023,q33_14,3.0,  3) 보통이다
2023,q33_14,4.0,  4) 그렇다
2023,q33_14,5.0,  5) 매우 그렇다
2023,q33_20,1.0,  1) 전혀 그렇지 않다
2023,q33_20,2.0,  2) 그렇지 않다
2023,q33_20,3.0,  3) 보통이다
2023,q33_20,4.0,  4) 그렇다
2023,q33_20,5.0,  5) 매우 그렇다
2023,DQ2_1,1.0,  1) 안 받았음
2023,DQ2_1,2.0,  2) 초등학교
2023,DQ2_1,3.0,  3) 중학교
2023,DQ2_1,4.0,  4) 고등학교
2023,DQ2_1,5.0,  5) 대학교(4년제 미만)
2023,DQ2_1,6.0,  6) 대학교(4년제 이상)
2023,DQ2_1,7.0,  7) 대학원(석사과정)
2023,DQ2_1,8.0,  8) 대학원(박사과정)
2024,Area1,1.0,  1) 서울
2024,Area1,2.0,  2) 부산
2024,Area1,3.0,  3) 대구
2024,Area1,4.0,  4) 인천
2024,Area1,5.0,  5) 광주
2024,Area1,6.0,  6) 대전
2024,Area1,7.0,  7) 울산
2024,Area1,8.0,  8) 세종
2024,Area1,9.0,  9) 경기
2024,Area1,10.0, 10) 강원
2024,Area1,11.0, 11) 충북
2024,Area1,12.0, 12) 충남
2024,Area1,13.0, 13) 전북
2024,Area1,14.0, 14) 전남
2024,Area1,15.0, 15) 경북
2024,Area1,16.0, 16) 경남
2024,Area1,17.0, 17) 제주
2024,Age_group,1.0,  1) 10대
2024,Age_group,2.0,  2) 20대
2024,Age_group,3.0,  3) 30대
2024,Age_group,4.0,  4) 40대
2024,Age_group,5.0,  5) 50대
2024,Age_group,6.0,  6) 60대
2024,Age_group,7.0,  7) 70대
2024,SQ1,1.0,  1) 남성
2024,SQ1,2.0,  2) 여성
2024,Q1_8,1.0,  1) 거의 매일
2024,Q1_8,2.0,  2) 일주일에 한두 번
2024,Q1_8,3.0,  3) 1개월에 한두 번
2024,Q1_8,4.0,  4) 6개월에 한두 번
2024,Q1_8,5.0,  5) 최근 1년간 이용 한적 없음
2024,Q1_8,9.0,  9) 전혀 이용한 적 없음
2024,Q3_8,1.0,  1) 전혀 개선하지 못할 것이다
2024,Q3_8,2.0,  2) 별로 개선하지 못할 것이다
2024,Q3_8,3.0,  3) 약간 개선할 것이다
2024,Q3_8,4.0,  4) 크게 개선할 것이다
2024,Q3_8,9.0,  9) 잘 모르겠다
2024,Q15_6,1.0,  1) 항상 있었다
2024,Q15_6,2.0,  2) 가끔 있었다
2024,Q15_6,3.0,  3) 거의 없었다
2024,Q15_6,4.0,  4) 전혀 없었다
2024,Q15_6,9.0,  9) 이용 경험이 없다
2024,q18_1,1.0,  1) 전혀 그렇지 않다
2024,q18_1,2.0,  2) 그렇지 않다
2024,q18_1,3.0,  3) 보통이다
2024,q18_1,4.0,  4) 그렇다
2024,q18_1,5.0,  5) 매우 그렇다
2024,q18_2,1.0,  1) 전혀 그렇지 않다
2024,q18_2,2.0,  2) 그렇지 않다
2024,q18_2,3.0,  3) 보통이다
2024,q18_2,4.0,  4) 그렇다
2024,q18_2,5.0,  5) 매우 그렇다
2024,q18_3,1.0,  1) 전혀 그렇지 않다
2024,q18_3,2.0,  2) 그렇지 않다
2024,q18_3,3.0,  3) 보통이다
2024,q18_3,4.0,  4) 그렇다
2024,q18_3,5.0,  5) 매우 그렇다
2024,q18_4,1.0,  1) 전혀 그렇지 않다
2024,q18_4,2.0,  2) 그렇지 않다
2024,q18_4,3.0,  3) 보통이다
2024,q18_4,4.0,  4) 그렇다
2024,q18_4,5.0,  5) 매우 그렇다
2024,q18_5,1.0,  1) 전혀 그렇지 않다
2024,q18_5,2.0,  2) 그렇지 않다
2024,q18_5,3.0,  3) 보통이다
2024,q18_5,4.0,  4) 그렇다
2024,q18_5,5.0,  5) 매우 그렇다
2024,q18_6,1.0,  1) 전혀 그렇지 않다
2024,q18_6,2.0,  2) 그렇지 않다
2024,q18_6,3.0,  3) 보통이다
2024,q18_6,4.0,  4) 그렇다
2024,q18_6,5.0,  5) 매우 그렇다
2024,q18_7,1.0,  1) 전혀 그렇지 않다
2024,q18_7,2.0,  2) 그렇지 않다
2024,q18_7,3.0,  3) 보통이다
2024,q18_7,4.0,  4) 그렇다
2024,q18_7,5.0,  5) 매우 그렇다
2024,q18_8,1.0,  1) 전혀 그렇지 않다
2024,q18_8,2.0,  2) 그렇지 않다
2024,q18_8,3.0,  3) 보통이다
2024,q18_8,4.0,  4) 그렇다
2024,q18_8,5.0,  5) 매우 그렇다
2024,q18_9,1.0,  1) 전혀 그렇지 않다
2024,q18_9,2.0,  2) 그렇지 않다
2024,q18_9,3.0,  3) 보통이다
2024,q18_9,4.0,  4) 그렇다
2024,q18_9,5.0,  5) 매우 그렇다
2024,q18_10,1.0,  1) 전혀 그렇지 않다
2024,q18_10,2.0,  2) 그렇지 않다
2024,q18_10,3.0,  3) 보통이다
2024,q18_10,4.0,  4) 그렇다
2024,q18_10,5.0,  5) 매우 그렇다
2024,q18_11,1.0,  1) 전혀 그렇지 않다
2024,q18_11,2.0,  2) 그렇지 않다
2024,q18_11,3.0,  3) 보통이다
2024,q18_11,4.0,  4) 그렇다
2024,q18_11,5.0,  5) 매우 그렇다
2024,q20_7,1.0,  1) 전혀 관리를 못한다
2024,q20_7,2.0,  2) 관리를 못하는 편이다
2024,q20_7,3.0,  3) 보통이다
2024,q20_7,4.0,  4) 관리를 잘하는 편이다
2024,q20_7,5.0,  5) 매우 관리를 잘한다
2024,q20_7,9.0,  9) 모르겠다
2024,q21,1.0,  1) 당연한 것처럼 전체 동의 버튼을 누른다
2024,q21,2.0,  2) 필수 동의 버튼만 체크한다(선택 동의 버튼은 체크하지 않는다)
2024,q21,3.0,  3) 개인정보수집절차가 필수이면 가입을 포기한다
2024,q21,4.0,  4) 개인정보수집절차가 무엇인지 잘 모른다
2024,Q24,1.0,  1) 이용한 경험이 있다.
2024,Q24,2.0,  2) 이용한 경험이 없다.
2024,Q31_1,1.0,  1) 전혀 그렇지 않다
2024,Q31_1,2.0,  2) 그렇지 않다
2024,Q31_1,3.0,  3) 보통이다
2024,Q31_1,4.0,  4) 그렇다
2024,Q31_1,5.0,  5) 매우 그렇다
2024,Q31_3,1.0,  1) 전혀 그렇지 않다
2024,Q31_3,2.0,  2) 그렇지 않다
2024,Q31_3,3.0,  3) 보통이다
2024,Q31_3,4.0,  4) 그렇다
2024,Q31_3,5.0,  5) 매우 그렇다
2024,Q31_4,1.0,  1) 전혀 그렇지 않다
2024,Q31_4,2.0,  2) 그렇지 않다
2024,Q31_4,3.0,  3) 보통이다
2024,Q31_4,4.0,  4) 그렇다
2024,Q31_4,5.0,  5) 매우 그렇다
2024,Q31_6,1.0,  1) 전혀 그렇지 않다
2024,Q31_6,2.0,  2) 그렇지 않다
2024,Q31_6,3.0,  3) 보통이다
2024,Q31_6,4.0,  4) 그렇다
2024,Q31_6,5.0,  5) 매우 그렇다
2024,Q31_7,1.0,  1) 전혀 그렇지 않다
2024,Q31_7,2.0,  2) 그렇지 않다
2024,Q31_7,3.0,  3) 보통이다
2024,Q31_7,4.0,  4) 그렇다
2024,Q31_7,5.0,  5) 매우 그렇다
2024,Q31_8,1.0,  1) 전혀 그렇지 않다
2024,Q31_8,2.0,  2) 그렇지 않다
2024,Q31_8,3.0,  3) 보통이다
2024,Q31_8,4.0,  4) 그렇다
2024,Q31_8,5.0,  5) 매우 그렇다
2024,Q31_9,1.0,  1) 전혀 그렇지 않다
2024,Q31_9,2.0,  2) 그렇지 않다
2024,Q31_9,3.0,  3) 보통이다
2024,Q31_9,4.0,  4) 그렇다
2024,Q31_9,5.0,  5) 매우 그렇다
2024,Q31_10,1.0,  1) 전혀 그렇지 않다
2024,Q31_10,2.0,  2) 그렇지 않다
2024,Q31_10,3.0,  3) 보통이다
2024,Q31_10,4.0,  4) 그렇다
2024,Q31_10,5.0,  5) 매우 그렇다
2024,Q31_13,1.0,  1) 전혀 그렇지 않다
2024,Q31_13,2.0,  2) 그렇지 않다
2024,Q31_13,3.0,  3) 보통이다
2024,Q31_13,4.0,  4) 그렇다
2024,Q31_13,5.0,  5) 매우 그렇다
2024,Q31_14,1.0,  1) 전혀 그렇지 않다
2024,Q31_14,2.0,  2) 그렇지 않다
2024,Q31_14,3.0,  3) 보통이다
2024,Q31_14,4.0,  4) 그렇다
2024,Q31_14,5.0,  5) 매우 그렇다
2024,Q31_20,1.0,  1) 전혀 그렇지 않다
2024,Q31_20,2.0,  2) 그렇지 않다
2024,Q31_20,3.0,  3) 보통이다
2024,Q31_20,4.0,  4) 그렇다
2024,Q31_20,5.0,  5) 매우 그렇다
2024,DQ2_1,1.0,  1) 안 받았음
2024,DQ2_1,2.0,  2) 초등학교
2024,DQ2_1,3.0,  3) 중학교
2024,DQ2_1,4.0,  4) 고등학교
2024,DQ2_1,5.0,  5) 대학교(4년제 미만)
2024,DQ2_1,6.0,  6) 대학교(4년제 이상)
2024,DQ2_1,7.0,  7) 대학원(석사과정)
2024,DQ2_1,8.0,  8) 대학원(박사과정)
2025,Area1,1.0,  1) 서울
2025,Area1,2.0,  2) 부산
2025,Area1,3.0,  3) 대구
2025,Area1,4.0,  4) 인천
2025,Area1,5.0,  5) 광주
2025,Area1,6.0,  6) 대전
2025,Area1,7.0,  7) 울산
2025,Area1,8.0,  8) 세종
2025,Area1,9.0,  9) 경기
2025,Area1,10.0, 10) 강원
2025,Area1,11.0, 11) 충북
2025,Area1,12.0, 12) 충남
2025,Area1,13.0, 13) 전북
2025,Area1,14.0, 14) 전남
2025,Area1,15.0, 15) 경북
2025,Area1,16.0, 16) 경남
2025,Area1,17.0, 17) 제주
2025,Age_group,1.0,  1) 10대
2025,Age_group,2.0,  2) 20대
2025,Age_group,3.0,  3) 30대
2025,Age_group,4.0,  4) 40대
2025,Age_group,5.0,  5) 50대
2025,Age_group,6.0,  6) 60대
2025,Age_group,7.0,  7) 70대
2025,SQ1,1.0,  1) 남성
2025,SQ1,2.0,  2) 여성
2025,q1_8,1.0,  1) 거의 매일
2025,q1_8,2.0,  2) 일주일에 한두 번
2025,q1_8,3.0,  3) 1개월에 한두 번
2025,q1_8,4.0,  4) 6개월에 한두 번
2025,q1_8,5.0,  5) 최근 1년간 이용 한적 없음
2025,q1_8,9.0,  9) 전혀 이용한 적 없음
2025,q3_8,1.0,  1) 전혀 개선하지 못할 것이다
2025,q3_8,2.0,  2) 별로 개선하지 못할 것이다
2025,q3_8,3.0,  3) 약간 개선할 것이다
2025,q3_8,4.0,  4) 크게 개선할 것이다
2025,q3_8,9.0,  9) 잘 모르겠다
2025,q11_1,1.0,  1) 전혀 그렇지 않다
2025,q11_1,2.0,  2) 그렇지 않다
2025,q11_1,3.0,  3) 보통이다
2025,q11_1,4.0,  4) 그렇다
2025,q11_1,5.0,  5) 매우 그렇다
2025,q11_2,1.0,  1) 전혀 그렇지 않다
2025,q11_2,2.0,  2) 그렇지 않다
2025,q11_2,3.0,  3) 보통이다
2025,q11_2,4.0,  4) 그렇다
2025,q11_2,5.0,  5) 매우 그렇다
2025,q11_3,1.0,  1) 전혀 그렇지 않다
2025,q11_3,2.0,  2) 그렇지 않다
2025,q11_3,3.0,  3) 보통이다
2025,q11_3,4.0,  4) 그렇다
2025,q11_3,5.0,  5) 매우 그렇다
2025,q11_4,1.0,  1) 전혀 그렇지 않다
2025,q11_4,2.0,  2) 그렇지 않다
2025,q11_4,3.0,  3) 보통이다
2025,q11_4,4.0,  4) 그렇다
2025,q11_4,5.0,  5) 매우 그렇다
2025,q11_5,1.0,  1) 전혀 그렇지 않다
2025,q11_5,2.0,  2) 그렇지 않다
2025,q11_5,3.0,  3) 보통이다
2025,q11_5,4.0,  4) 그렇다
2025,q11_5,5.0,  5) 매우 그렇다
2025,q11_6,1.0,  1) 전혀 그렇지 않다
2025,q11_6,2.0,  2) 그렇지 않다
2025,q11_6,3.0,  3) 보통이다
2025,q11_6,4.0,  4) 그렇다
2025,q11_6,5.0,  5) 매우 그렇다
2025,q11_7,1.0,  1) 전혀 그렇지 않다
2025,q11_7,2.0,  2) 그렇지 않다
2025,q11_7,3.0,  3) 보통이다
2025,q11_7,4.0,  4) 그렇다
2025,q11_7,5.0,  5) 매우 그렇다
2025,q11_8,1.0,  1) 전혀 그렇지 않다
2025,q11_8,2.0,  2) 그렇지 않다
2025,q11_8,3.0,  3) 보통이다
2025,q11_8,4.0,  4) 그렇다
2025,q11_8,5.0,  5) 매우 그렇다
2025,q11_9,1.0,  1) 전혀 그렇지 않다
2025,q11_9,2.0,  2) 그렇지 않다
2025,q11_9,3.0,  3) 보통이다
2025,q11_9,4.0,  4) 그렇다
2025,q11_9,5.0,  5) 매우 그렇다
2025,q11_10,1.0,  1) 전혀 그렇지 않다
2025,q11_10,2.0,  2) 그렇지 않다
2025,q11_10,3.0,  3) 보통이다
2025,q11_10,4.0,  4) 그렇다
2025,q11_10,5.0,  5) 매우 그렇다
2025,q11_11,1.0,  1) 전혀 그렇지 않다
2025,q11_11,2.0,  2) 그렇지 않다
2025,q11_11,3.0,  3) 보통이다
2025,q11_11,4.0,  4) 그렇다
2025,q11_11,5.0,  5) 매우 그렇다
2025,q12,1.0,  1) 당연한 것처럼 전체 동의 버튼을 누른다
2025,q12,2.0,  2) 필수 동의 버튼만 체크한다(선택 동의 버튼은 체크하지 않는다)
2025,q12,3.0,  3) 개인정보수집절차가 필수이면 가입을 포기한다
2025,q12,4.0,  4) 개인정보수집절차가 무엇인지 잘 모른다
2025,q14_6,1.0,  1) 항상 있었다
2025,q14_6,2.0,  2) 가끔 있었다
2025,q14_6,3.0,  3) 거의 없었다
2025,q14_6,4.0,  4) 전혀 없었다
2025,q14_6,9.0,  9) 이용 경험이 없다
2025,q18_7,1.0,  1) 전혀 관리를 못한다
2025,q18_7,2.0,  2) 관리를 못하는 편이다
2025,q18_7,3.0,  3) 보통이다
2025,q18_7,4.0,  4) 관리를 잘하는 편이다
2025,q18_7,5.0,  5) 매우 관리를 잘한다
2025,q18_7,9.0,  9) 모르겠다
2025,q20,1.0,  1) 이용한 경험이 있다.
2025,q20,2.0,  2) 이용한 경험이 없다.
2025,q29_1,1.0,  1) 전혀 그렇지 않다
2025,q29_1,2.0,  2) 그렇지 않다
2025,q29_1,3.0,  3) 보통이다
2025,q29_1,4.0,  4) 그렇다
2025,q29_1,5.0,  5) 매우 그렇다
2025,q29_3,1.0,  1) 전혀 그렇지 않다
2025,q29_3,2.0,  2) 그렇지 않다
2025,q29_3,3.0,  3) 보통이다
2025,q29_3,4.0,  4) 그렇다
2025,q29_3,5.0,  5) 매우 그렇다
2025,q29_4,1.0,  1) 전혀 그렇지 않다
2025,q29_4,2.0,  2) 그렇지 않다
2025,q29_4,3.0,  3) 보통이다
2025,q29_4,4.0,  4) 그렇다
2025,q29_4,5.0,  5) 매우 그렇다
2025,q29_6,1.0,  1) 전혀 그렇지 않다
2025,q29_6,2.0,  2) 그렇지 않다
2025,q29_6,3.0,  3) 보통이다
2025,q29_6,4.0,  4) 그렇다
2025,q29_6,5.0,  5) 매우 그렇다
2025,q29_7,1.0,  1) 전혀 그렇지 않다
2025,q29_7,2.0,  2) 그렇지 않다
2025,q29_7,3.0,  3) 보통이다
2025,q29_7,4.0,  4) 그렇다
2025,q29_7,5.0,  5) 매우 그렇다
2025,q29_8,1.0,  1) 전혀 그렇지 않다
2025,q29_8,2.0,  2) 그렇지 않다
2025,q29_8,3.0,  3) 보통이다
2025,q29_8,4.0,  4) 그렇다
2025,q29_8,5.0,  5) 매우 그렇다
2025,q29_9,1.0,  1) 전혀 그렇지 않다
2025,q29_9,2.0,  2) 그렇지 않다
2025,q29_9,3.0,  3) 보통이다
2025,q29_9,4.0,  4) 그렇다
2025,q29_9,5.0,  5) 매우 그렇다
2025,q29_10,1.0,  1) 전혀 그렇지 않다
2025,q29_10,2.0,  2) 그렇지 않다
2025,q29_10,3.0,  3) 보통이다
2025,q29_10,4.0,  4) 그렇다
2025,q29_10,5.0,  5) 매우 그렇다
2025,q29_13,1.0,  1) 전혀 그렇지 않다
2025,q29_13,2.0,  2) 그렇지 않다
2025,q29_13,3.0,  3) 보통이다
2025,q29_13,4.0,  4) 그렇다
2025,q29_13,5.0,  5) 매우 그렇다
2025,q29_14,1.0,  1) 전혀 그렇지 않다
2025,q29_14,2.0,  2) 그렇지 않다
2025,q29_14,3.0,  3) 보통이다
2025,q29_14,4.0,  4) 그렇다
2025,q29_14,5.0,  5) 매우 그렇다
2025,q29_20,1.0,  1) 전혀 그렇지 않다
2025,q29_20,2.0,  2) 그렇지 않다
2025,q29_20,3.0,  3) 보통이다
2025,q29_20,4.0,  4) 그렇다
2025,q29_20,5.0,  5) 매우 그렇다
2025,DQ2_1,1.0,  1) 안 받았음
2025,DQ2_1,2.0,  2) 초등학교
2025,DQ2_1,3.0,  3) 중학교
2025,DQ2_1,4.0,  4) 고등학교
2025,DQ2_1,5.0,  5) 대학교(4년제 미만)
2025,DQ2_1,6.0,  6) 대학교(4년제 이상)
2025,DQ2_1,7.0,  7) 대학원(석사과정)
2025,DQ2_1,8.0,  8) 대학원(박사과정)
